               epoch;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
142;0.0091148;0.0034167;0;0.98479;0.99291;0.99393;0.899;0.0068735;0.0023562;0;0.0036866;0.0036866;0.0036866
143;0.008508;0.0035919;0;0.99462;0.98582;0.99486;0.89738;0.0064306;0.0024701;0;0.0036418;0.0036418;0.0036418
144;0.0086673;0.0032652;0;0.99171;0.99291;0.99479;0.9139;0.0068076;0.0025599;0;0.003597;0.003597;0.003597
145;0.0089096;0.0033544;0;0.99188;0.99291;0.99486;0.91147;0.0066452;0.0025883;0;0.0035522;0.0035522;0.0035522
146;0.0088437;0.0033039;0;0.99227;0.99291;0.99486;0.90867;0.0070816;0.0025906;0;0.0035075;0.0035075;0.0035075
147;0.0080939;0.0034721;0;0.9929;0.99244;0.99479;0.90387;0.0066348;0.0025859;0;0.0034627;0.0034627;0.0034627
148;0.0087706;0.0033473;0;0.99134;0.99291;0.99415;0.91377;0.0064441;0.0022547;0;0.0034179;0.0034179;0.0034179
149;0.0083163;0.0032666;0;0.99227;0.99291;0.99401;0.91215;0.0063382;0.0021921;0;0.0033731;0.0033731;0.0033731
150;0.0081083;0.0033809;0;0.9929;0.99127;0.99472;0.91024;0.0064216;0.0022104;0;0.0033284;0.0033284;0.0033284
151;0.0084939;0.0034767;0;0.99785;0.99291;0.995;0.9023;0.0062451;0.0025777;0;0.0032836;0.0032836;0.0032836
152;0.0083309;0.0034864;0;0.99579;0.99291;0.995;0.91602;0.0062865;0.0024534;0;0.0032388;0.0032388;0.0032388
153;0.008149;0.0032582;0;0.98591;0.99254;0.99464;0.90617;0.0060998;0.0024947;0;0.003194;0.003194;0.003194
154;0.0085473;0.0034567;0;0.98576;0.98162;0.994;0.90679;0.0062581;0.002498;0;0.0031493;0.0031493;0.0031493
155;0.0082291;0.0034073;0;0.98539;0.99291;0.99372;0.90901;0.0062447;0.0024109;0;0.0031045;0.0031045;0.0031045
156;0.0076098;0.0032945;0;0.99285;0.98534;0.99407;0.90537;0.0062351;0.0024588;0;0.0030597;0.0030597;0.0030597
157;0.0080379;0.0034816;0;0.99199;0.99291;0.99379;0.91351;0.0061547;0.0023624;0;0.0030149;0.0030149;0.0030149
158;0.0081553;0.0033505;0;0.9929;0.99242;0.9933;0.91402;0.0060921;0.0025096;0;0.0029701;0.0029701;0.0029701
159;0.0082464;0.0033635;0;0.99217;0.99291;0.99372;0.90572;0.0065454;0.0027782;0;0.0029254;0.0029254;0.0029254
160;0.0080333;0.0032408;0;0.99291;0.99255;0.99457;0.91216;0.00653;0.0028868;0;0.0028806;0.0028806;0.0028806
161;0.0077574;0.003351;0;0.99291;0.99282;0.99486;0.9045;0.0067567;0.0027143;0;0.0028358;0.0028358;0.0028358
162;0.0081558;0.0034308;0;0.99229;0.99291;0.99472;0.91108;0.0064874;0.0026295;0;0.002791;0.002791;0.002791
163;0.0081953;0.0034241;0;0.99031;0.99291;0.99372;0.91092;0.006287;0.0024815;0;0.0027463;0.0027463;0.0027463
164;0.0080667;0.0032568;0;0.98535;0.99291;0.99443;0.9079;0.0063977;0.002695;0;0.0027015;0.0027015;0.0027015
165;0.0081774;0.0032879;0;0.98507;0.99291;0.99472;0.9103;0.0061386;0.0026557;0;0.0026567;0.0026567;0.0026567
166;0.0070347;0.0030392;0;0.99288;0.98864;0.99401;0.91295;0.0061407;0.0025087;0;0.0026119;0.0026119;0.0026119
167;0.0076569;0.0032806;0;0.99183;0.98582;0.99451;0.91933;0.0059458;0.0023853;0;0.0025672;0.0025672;0.0025672
168;0.0072995;0.0031195;0;1;0.98393;0.99472;0.9064;0.0063392;0.0026776;0;0.0025224;0.0025224;0.0025224
169;0.0071809;0.0030067;0;0.9929;0.99224;0.99465;0.91323;0.006135;0.0024382;0;0.0024776;0.0024776;0.0024776
170;0.007283;0.0031992;0;0.99222;0.99291;0.99457;0.9151;0.0058285;0.0024493;0;0.0024328;0.0024328;0.0024328
171;0.0072485;0.0031297;0;0.98503;0.99291;0.99421;0.91353;0.0059925;0.0022046;0;0.0023881;0.0023881;0.0023881
172;0.007225;0.0031176;0;0.9923;0.97872;0.99328;0.90789;0.0060928;0.0019901;0;0.0023433;0.0023433;0.0023433
173;0.0072772;0.0031506;0;0.99284;0.98359;0.99429;0.91207;0.006488;0.0022541;0;0.0022985;0.0022985;0.0022985
174;0.0072733;0.0029004;0;0.98534;0.99291;0.99414;0.91765;0.0062401;0.0022322;0;0.0022537;0.0022537;0.0022537
175;0.0078168;0.003393;0;0.99291;0.99285;0.99436;0.90878;0.0062637;0.0022769;0;0.002209;0.002209;0.002209
176;0.0076005;0.0031226;0;0.99216;0.99291;0.99486;0.91188;0.0061908;0.0025595;0;0.0021642;0.0021642;0.0021642
177;0.0078083;0.0031464;0;0.99291;0.99286;0.99472;0.90713;0.0062294;0.0026056;0;0.0021194;0.0021194;0.0021194
178;0.0072613;0.0031136;0;0.9929;0.99157;0.99472;0.9088;0.0062179;0.0025492;0;0.0020746;0.0020746;0.0020746
179;0.0068739;0.0032207;0;1;0.98453;0.99486;0.90964;0.0059774;0.0024296;0;0.0020299;0.0020299;0.0020299
180;0.0068596;0.003255;0;0.9982;0.99291;0.995;0.91683;0.0059829;0.002471;0;0.0019851;0.0019851;0.0019851
181;0.0071207;0.002831;0;0.99928;0.99291;0.995;0.91494;0.0062887;0.0025399;0;0.0019403;0.0019403;0.0019403
182;0.0074171;0.0030603;0;0.99892;0.99291;0.995;0.9121;0.0063462;0.002792;0;0.0018955;0.0018955;0.0018955
183;0.0068673;0.0030994;0;1;0.99175;0.995;0.90892;0.0061428;0.0025009;0;0.0018507;0.0018507;0.0018507
184;0.0069862;0.0029419;0;0.99858;0.99291;0.995;0.91765;0.006089;0.002243;0;0.001806;0.001806;0.001806
185;0.0065708;0.0030714;0;0.99917;0.99291;0.995;0.91349;0.006242;0.0024522;0;0.0017612;0.0017612;0.0017612
186;0.0070694;0.0030894;0;0.99178;0.99291;0.99479;0.91562;0.0061898;0.0022226;0;0.0017164;0.0017164;0.0017164
187;0.006842;0.0030276;0;0.99203;0.99291;0.99479;0.91736;0.0061064;0.0020928;0;0.0016716;0.0016716;0.0016716
188;0.0067661;0.0030963;0;0.99224;0.99291;0.99472;0.92441;0.0062391;0.0021043;0;0.0016269;0.0016269;0.0016269
189;0.006578;0.0029556;0;0.99295;0.99928;0.99486;0.92092;0.0061739;0.002073;0;0.0015821;0.0015821;0.0015821
190;0.0072263;0.0029338;0;0.99295;0.99928;0.995;0.91803;0.0061943;0.0021625;0;0.0015373;0.0015373;0.0015373
191;0.0062333;0.0027925;0;0.99819;0.99291;0.995;0.91896;0.0061153;0.0021207;0;0.0014925;0.0014925;0.0014925
192;0.0069889;0.0030694;0;0.986;0.99902;0.99493;0.91725;0.0061274;0.0021576;0;0.0014478;0.0014478;0.0014478
193;0.0061658;0.0027561;0;0.986;0.99876;0.99493;0.9144;0.0062725;0.0022296;0;0.001403;0.001403;0.001403
194;0.0066867;0.002905;0;0.99859;0.99291;0.995;0.92267;0.006213;0.0022084;0;0.0013582;0.0013582;0.0013582
195;0.0066553;0.0030824;0;0.99235;0.99291;0.99493;0.91987;0.006224;0.0022526;0;0.0013134;0.0013134;0.0013134
196;0.0067665;0.0029994;0;0.99243;0.99291;0.99486;0.91901;0.0061159;0.0022287;0;0.0012687;0.0012687;0.0012687
197;0.0063517;0.0028635;0;0.99291;0.99277;0.99479;0.91646;0.0061176;0.0021023;0;0.0012239;0.0012239;0.0012239
198;0.0061259;0.0025969;0;0.99248;0.99291;0.99493;0.9181;0.0061371;0.002113;0;0.0011791;0.0011791;0.0011791
199;0.0064157;0.0030536;0;0.99176;0.99291;0.99493;0.91855;0.006035;0.0022138;0;0.0011343;0.0011343;0.0011343
